last_name, first_name,player_id,year,slg_percent,on_base_percent,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_bolts,hp_to_1b,sprint_speed
Murphy, Sean,669221,2022,0.426,0.332,88.7,11.5,34.7,10.5,6.5,23.2,23.4,32.8,3.6,41.4,101.085158756,70.9,17.2,29.5,39,61,52.1,79.9,7.8,82.8,47.9,44,24,49.3,39.7,36.6,23.7,62.5,42.1,23.4,27,7.4,,4.62,26.1
Senzel, Nick,669222,2022,0.306,0.288,87.2,11.7,35,3.3,5,27.7,24.7,33.3,5.3,33.9,97.72590723,68.2,14.7,27.7,38.3,61.2,50.9,79.5,8,85.3,49.1,40.8,21.8,47.7,38,36.3,25.7,66.9,46.3,24.3,23.7,5.7,2,4.41,28.7
Edman, Tommy,669242,2022,0.400,0.324,88.6,8.7,31.6,6.2,5.1,25.6,20.7,37.2,4.5,37.8,98.931648319,64,11.8,30.6,38.3,60.9,51,69.1,6.4,87.8,49,44.6,20.6,47,37.8,38.7,23.5,61.4,49.4,20.5,23.5,6.6,12,4.25,28.8
Smith, Will,669257,2022,0.465,0.343,89.9,18.4,36.8,10.3,7.2,23.3,33.4,22.6,3.1,43,99.764565096,63.7,16.1,21.3,29.1,70.9,49.8,73.5,8.3,83.9,50.2,40.8,19.3,42.6,36.5,36.8,26.7,60,31.5,37.3,25.5,5.8,,4.5,27.5
Suwinski, Jack,669261,2022,0.411,0.298,88.3,14.3,26.3,12.2,7.5,19.7,25.8,28.6,5.6,40.4,100.221227453,61,20.4,24.5,56.9,43.1,48.8,75,7.1,79.4,51.2,44.3,30.5,43.2,43.7,34.7,21.6,61.8,43.2,31.9,16,8.9,3,4.32,28.7
Espinal, Santiago,669289,2022,0.370,0.322,86.1,14.1,33.8,3.4,3.6,25.7,26.8,35.1,5.5,31.7,96.814213298,67.2,10.9,25.5,27.5,72.1,50.6,74.5,7.8,88.3,49.4,42.1,15.5,46.1,37.7,39,23.4,60.2,43.6,19.2,26.8,10.4,,4.38,27.0
Miranda, Jose,669304,2022,0.426,0.325,89.3,13.8,34.2,6.2,7.9,26.8,26.3,29.4,3.1,42.4,99.818973051,72.5,15,32.6,43.1,56.9,52.6,82.8,7.4,85,47.4,40.1,24.3,51.5,41.8,33.3,24.9,64.4,42.4,25.4,24,8.2,,4.61,26.2
Thompson, Bubba,669352,2022,0.312,0.298,84.8,5.3,21.6,1.7,4.3,15.5,23.3,38.8,16.4,21.6,95.6266222,79,25.4,38.4,44.4,51.6,49.9,88.1,6.5,68.8,50.1,45,31.6,58.7,32.8,47.4,19.8,65.2,58.6,19,14.7,7.8,44,4.16,30.4
Gorman, Nolan,669357,2022,0.420,0.300,89.2,20,46.7,14.4,11.7,24.4,29.4,16.7,3.3,43.3,100.703871333,74.9,25.6,31.1,52.5,47.1,54.4,86.1,6,74,45.6,42.7,34.5,51.1,38.9,37.8,23.3,65.5,27.2,38.3,27.8,6.7,,4.38,26.9
Hiura, Keston,669374,2022,0.449,0.316,91.7,16.1,41.1,15.3,11.3,22.6,22.6,24.2,3.2,45.2,103.00306629,70.3,32.4,29,57.6,41.3,51.7,82.7,6.5,67.6,48.3,44,40.1,49,37.9,41.1,21,65.8,36.3,33.9,24.2,5.6,,4.62,27.5
